"","year","track","paperTitle","doi","authors","sessionInfo","title","videoPreview"
"1",2014,"InfoVis","MovExp: A Versatile Visualization Tool for Human-Computer Interaction Studies with 3D Performance and Biomechanical Data","10.1109/TVCG.2014.2346311","Gregorio Palmas;Myroslav Bachynskyi;Antti Oulasvirta;Hans-Peter Seidel;Tino Weinkauf",NA,NA,NA
"2",2014,"InfoVis","Moving beyond sequential design: Reflections on a rich multi-channel approach to data visualization","10.1109/TVCG.2014.2346323","Jo Wood;Roger Beecham;Jason Dykes",NA,NA,NA
"3",2014,"InfoVis","Overview: The Design, Adoption, and Analysis of a Visual Document Mining Tool for Investigative Journalists","10.1109/TVCG.2014.2346431","Matthew Brehmer;Stephen Ingram;Jonathan Stray;Tamara Munzner",NA,NA,NA
"4",2014,"SciVis","Trend-Centric Motion Visualization: Designing and Applying a New Strategy for Analyzing Scientific Motion Collections","10.1109/TVCG.2014.2346451","David Schroeder;Fedor Korsakov;Carissa Mai-Ping Knipe;Lauren Thorson;Arin M. Ellingson;David J. Nuckley;John V. Carlis;Daniel F. Keefe",NA,NA,NA
"5",2014,"VAST","DIA2: Web-based Cyberinfrastructure for Visual Analysis of Funding Portfolios","10.1109/TVCG.2014.2346747","Krishna P. C. Madhavan;Niklas Elmqvist;Mihaela Vorvoreanu;Xin Chen;Yuet Ling Wong;Hanjun Xian;Zhihua Dong;Aditya Johri",NA,NA,NA
"6",2014,"VAST","The Spinel Explorer - Interactive Visual Analysis of Spinel Group Minerals","10.1109/TVCG.2014.2346754","Maria Luján Ganuza;Gabriela Ferracutti;Maria Florencia Gargiulo;Silvia Mabel Castro;Ernesto A. Bjerg;Eduard Gröller;Kresimir Matkovic",NA,NA,NA
"7",2015,"InfoVis","Matches, Mismatches, and Methods: Multiple-View Workflows for Energy Portfolio Analysis","10.1109/TVCG.2015.2466971","Matthew Brehmer;Jocelyn Ng;Kevin Tate;Tamara Munzner",NA,NA,NA
"8",2015,"InfoVis","Visually Comparing Weather Features in Forecasts","10.1109/TVCG.2015.2467754","P. Samuel Quinan;Miriah D. Meyer",NA,NA,NA
"9",2015,"InfoVis","Poemage: Visualizing the Sonic Topology of a Poem","10.1109/TVCG.2015.2467811","Nina McCurdy;Julie Lein;Katherine Coles;Miriah D. Meyer",NA,NA,NA
"10",2015,"SciVis","Interactive Visualization for Singular Fibers of Functions f : R3 -> R2","10.1109/TVCG.2015.2467433","Daisuke Sakurai;Osamu Saeki;Hamish Carr;Hsiang-Yun Wu;Takahiro Yamamoto;David J. Duke;Shigeo Takahashi",NA,NA,NA
